rooms,Elitka,area,heating,floor,price
1,1,44,1,4,26500
1,1,32,1,10,26500
1,0,44,1,4,26500
1,0,45,1,2,26500
1,0,33,1,8,26500
1,0,35,1,9,26500
1,0,45,1,1,26500
3,0,52,1,2,26500
1,0,39,1,4,26500
1,0,42,1,7,26500
1,0,43,1,9,26500
1,0,33,1,6,26500
2,1,42,1,3,26500
1,0,33,1,4,26500
2,0,46,1,1,26500
1,0,30,1,5,26500
2,0,42,1,8,26600
1,0,34,1,6,26700
1,0,27,1,9,26800
1,0,30,NA,3,26900
1,1,37,1,9,27000
1,0,30,1,4,27000
1,0,30,1,4,27000
1,0,30,1,7,27000
1,0,42,1,8,27000
1,1,42,1,9,27000
1,0,36,1,8,27000
2,1,55,1,2,27000
2,0,42,1,4,27000
1,1,44,1,4,27000
1,0,40,1,9,27000
2,0,48,1,2,27000
1,0,39,1,8,27000
2,1,44,1,4,27000
2,0,34,1,7,27000
1,0,30,1,5,27000
2,0,41,1,3,27000
2,0,48,1,2,27000
1,0,35,1,7,27000
1,0,32,1,4,27000
1,0,40,1,3,27000
1,0,42,1,7,27000
1,0,44,1,11,27000
1,0,33,1,5,27000
1,0,45,1,1,27000
1,1,46,1,2,27000
1,0,39,1,8,27000
3,0,62,0,1,27000
1,0,34,1,9,27000
2,0,50,1,2,27000
2,0,43,1,8,27000
2,0,56,1,2,27000
2,0,50,1,2,27000
1,0,33,1,4,27000
1,0,34,1,5,27000
1,0,33,1,7,27000
1,0,34,1,7,27000
2,0,45,1,1,27000
3,0,74,0,1,27000
1,0,30,1,4,27000
1,0,32,1,4,27000
1,0,37,1,6,27000
1,1,45,1,2,27000
1,0,32,1,4,27000
1,0,31,1,9,27000
1,1,46,1,2,27200
2,0,31,1,5,27200
1,0,30,1,5,27200
1,0,32,1,4,27300
1,0,31,1,4,27500
1,0,32,1,6,27500
1,0,32,1,5,27500
1,0,32,1,4,27500
1,1,44,1,5,27500
1,0,30,1,5,27500
1,0,32,1,4,27500
1,0,29,1,7,27500
2,0,50,1,1,27500
1,0,34,1,4,27500
1,0,30,1,3,27500
1,0,30,1,8,27500
1,0,30,1,8,27500
1,0,35,1,3,27500
1,0,30,1,5,27500
1,0,40,1,9,27500
3,1,70,0,2,27500
2,0,47,1,1,27500
2,1,50,1,1,27500
1,1,32,1,6,27500
1,1,44,1,6,27500
1,1,33,1,9,27500
1,0,34,1,9,27500
1,0,36,1,9,27500
1,0,30,1,9,27500
1,1,43,1,4,27500
1,0,31,1,3,27500
2,0,35,1,6,27500
1,0,48,1,2,27700
2,1,51,1,1,27800
2,0,50,1,1,27800
1,0,31,1,9,27900
NA,1,40,1,9,28000
1,1,45,1,3,28000
2,0,44,1,5,28000
2,0,41,1,6,28000
1,0,31,1,5,28000
2,0,45,1,6,28000
1,1,45,1,8,28000
1,0,38,1,4,28000
1,0,31,1,4,28000
1,0,32,1,7,28000
2,0,50,1,2,28000
1,1,43,1,5,28000
1,0,34,1,5,28000
1,0,28,1,7,28000
3,1,71,0,1,28000
2,0,43,1,9,28000
2,0,42,1,4,28000
1,0,39,1,6,28000
1,0,38,1,3,28000
2,0,55,1,1,28000
1,1,43,1,8,28000
1,0,30,1,5,28000
1,0,45,1,6,28000
1,0,40,1,9,28000
1,0,30,1,7,28000
1,0,30,1,3,28000
1,0,31,1,6,28000
1,0,32,1,7,28000
1,0,31,1,3,28000
2,0,49,1,1,28000
1,0,43,1,8,28000
1,0,32,1,5,28000
1,0,42,1,8,28000
2,0,60,1,2,28000
2,0,60,1,2,28000
2,0,42,1,5,28000
3,0,80,0,2,28000
2,0,39,1,6,28000
2,0,41,1,7,28000
2,0,49,1,2,28000
3,0,72,0,2,28000
1,1,30,1,6,28000
2,1,50,1,2,28000
3,0,71,0,2,28000
2,0,50,1,1,28000
2,0,43,1,3,28000
2,1,45,1,6,28000
1,0,36,1,8,28000
2,0,60,1,1,28000
1,0,34,1,5,28000
3,0,40,1,8,28000
1,0,33,1,7,28000
1,0,37,1,9,28500
2,1,44,1,4,28500
1,0,35,1,7,28500
1,0,36,1,3,28500
1,0,30,1,6,28500
2,0,54,1,1,28500
2,0,32,1,4,28500
1,0,34,1,9,28500
1,0,32,1,8,28500
1,1,35,1,6,28500
1,0,37,1,5,28500
1,0,32,1,8,28500
1,0,35,1,7,28500
1,0,30,1,6,28500
1,0,33,1,5,28500
2,1,42,1,8,28500
1,1,34,1,4,28500
1,1,34,1,6,28500
2,0,54,1,1,28500
1,1,44,1,9,28500
1,0,30,1,3,28500
1,0,31,1,6,28500
1,0,32,1,3,28500
1,1,30,1,10,28500
1,1,44,1,3,28500
1,1,44,1,9,28500
1,1,40,1,9,28500
2,0,39,1,3,28500
2,0,50,1,1,28500
1,0,43,1,4,28500
1,0,33,1,8,28500
1,0,48,1,1,28500
1,0,35,1,9,28500
1,0,45,1,9,28500
1,0,43,1,8,28500
1,0,38,1,3,28500
1,0,45,1,9,28500
2,0,52,1,2,28500
1,1,35,1,3,28500
1,0,34,1,4,28500
1,0,34,1,7,28500
1,1,48,1,1,28500
1,1,45,1,8,28500
1,1,30,1,9,28500
1,1,35,1,5,28500
1,0,37,1,6,28500
1,0,37,1,4,28500
1,0,45,1,6,28500
1,0,43,1,5,28600
2,0,55,1,1,28700
1,0,45,1,4,28700
1,0,32,1,8,28700
1,0,42,1,8,28800
1,0,34,1,8,28800
1,1,32,1,10,29000
1,0,32,1,8,29000
1,0,32,1,6,29000
1,0,35,1,6,29000
1,1,35,1,9,29000
1,1,32,1,7,29000
2,0,30,1,8,29000
1,0,30,1,8,29000
1,0,36,1,4,29000
1,0,30,1,4,29000
1,0,42,1,3,29000
1,0,34,1,5,29000
1,0,48,1,9,29000
3,0,60,1,1,29000
1,0,43,1,4,29000
1,0,34,1,6,29000
1,0,36,1,9,29000
1,0,36,1,3,29000
2,0,45,1,3,29000
1,1,40,1,3,29000
2,0,43,1,3,29000
2,0,48,1,9,29000
3,0,58,1,1,29000
3,0,69,0,2,29000
1,0,40,1,6,29000
2,0,34,1,3,29000
2,0,42,1,7,29000
3,0,71,0,1,29000
1,1,35,1,7,29000
3,0,64,1,2,29000
2,0,51,1,1,29000
1,1,36,1,6,29000
1,0,30,1,8,29000
2,0,30,1,4,29000
1,0,32,1,3,29111
1,0,34,1,5,29200
1,0,30,1,4,29200
2,0,45,1,5,29200
1,0,32,1,6,29200
1,0,35,1,3,29200
1,0,32,1,5,29200
2,0,42,1,4,29200
2,0,42,1,7,29200
1,1,42,1,8,29200
2,0,42,1,3,29200
2,1,56,1,1,29250
1,0,36,1,5,29300
2,0,48,1,4,29300
1,1,35,1,9,29400
2,0,45,1,4,29500
1,1,32,1,5,29500
1,1,32,1,4,29500
1,1,33,1,4,29500
1,1,33,1,4,29500
1,1,30,1,5,29500
1,1,34,1,7,29500
1,0,34,1,5,29500
1,1,33,1,3,29500
1,1,32,1,7,29500
1,1,42,1,4,29500
1,1,32,1,5,29500
2,1,48,1,7,29500
1,1,30,1,6,29500
1,1,30,1,6,29500
1,1,39,1,8,29500
1,1,42,1,9,29500
1,0,44,1,6,29500
1,1,36,1,6,29500
1,1,35,1,6,29500
1,1,32,1,4,29500
1,1,32,1,8,29500
1,1,32,1,3,29500
1,1,34,1,4,29500
1,1,32,1,5,29500
1,1,32,1,9,29500
1,0,38,1,5,29500
1,0,34,1,3,29500
2,0,30,1,8,29500
1,0,44,1,9,29500
1,0,34,1,4,29500
2,1,35,1,5,29500
1,0,49,1,9,29500
1,0,43,1,4,29500
1,1,44,1,5,29500
2,0,52,1,1,29500
1,0,34,1,3,29500
1,0,42,1,5,29500
1,0,35,1,4,29500
1,1,32,1,9,29500
1,1,32,1,8,29500
2,1,50,1,2,29500
2,0,47,1,3,29500
2,0,47,1,9,29500
1,1,45,1,9,29500
1,1,32,1,8,29500
1,0,43,1,7,29500
2,0,30,1,4,29500
1,0,37,1,5,29500
1,1,44,1,7,29500
1,1,43,1,6,29500
1,0,31,1,5,29500
2,0,42,1,4,29500
1,1,32,1,11,29600
2,0,44,1,3,29700
1,1,42,1,9,29700
1,1,42,1,3,29800
1,1,44,1,12,29800
1,1,45,1,4,29800
2,0,33,1,6,29800
2,0,31,1,7,29800
3,0,63,1,1,29800
3,0,77,0,2,29800
1,1,49,1,4,29900
1,0,40,1,7,29900
1,0,31,1,5,29949
1,0,32,1,3,30000
1,1,45,1,4,30000
1,1,29,1,4,30000
1,1,32,1,7,30000
1,1,43,1,9,30000
2,1,62,1,1,30000
2,0,64,1,2,30000
1,0,57,1,2,30000
1,1,45,1,5,30000
1,0,34,1,4,30000
2,0,42,1,6,30000
2,1,55,1,2,30000
1,1,31,1,9,30000
3,0,60,1,1,30000
2,0,49,1,9,30000
2,0,48,1,8,30000
3,0,61,1,2,30000
2,0,48,1,7,30000
2,1,55,1,2,30000
1,1,31,1,4,30000
1,1,32,1,8,30000
1,1,45,1,9,30000
1,1,34,1,3,30000
1,1,47,1,3,30000
1,1,35,1,11,30000
2,0,38,1,3,30000
